Type,pro-reg,protein,regionStart,regionEnd,avg_fuzzy_ox_k,avg_fuzzy_ox_p,avg_fuzzy_ox_m,avg_fuzzy_d,avg_fuzzy_gal,avg_fuzzy_gluc,avg_jumbo_ox_k,avg_jumbo_ox_p,avg_jumbo_ox_m,avg_jumbo_d,avg_jumbo_gal,avg_jumbo_gluc,fuzzy_ox_k,fuzzy_ox_p,fuzzy_ox_m,fuzzy_d,fuzzy_gal,fuzzy_gluc,jumbo_ox_k,jumbo_ox_p,jumbo_ox_m,jumbo_d,jumbo_gal,jumbo_gluc,ox_k_MWU_sig,ox_k_MWU_sig_p,ox_p_MWU_sig,ox_p_MWU_sig_p,ox_m_MWU_sig,ox_m_MWU_sig_p,d_nq_MWU_sig,d_nq_MWU_sig_p,gala_k_MWU_sig,gluc_k_MWU_sig_p,ox_k_WC_sig,ox_k_WC_sig_p,ox_p_WC_sig,ox_p_WC_sig_p,ox_m_WC_sig,ox_m_WC_sig_p,d_nq_WC_sig,d_nq_WC_sig_p,gala_k_WC_sig,gala_k_WC_sig_p,glu_k_WC_sig,glu_k_WC_sig_p
sig,CO1A21000-1050,CO1A2,1000,1050,0,0,0,1,0,0,0,1,0,1,0,0,"[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[1, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,3.0,0.6192567541768621,4.5,0.6192567541768621,4.5,1.0,4.5,1.0,0.0,1.0,-0.6546536707079772,0.5126907602619233,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
surr,CO1A2950-1100 +-50,CO1A2,950,1100,4,18,0,5,0,0,20,52,0,23,0,0,"[2, 6, 5]","[17, 17, 20]","[0, 0, 0]","[4, 6, 5]","[0, 0, 0]","[0, 0, 0]","[17, 22, 20]","[50, 49, 56]","[0, 0, 0]","[22, 20, 27]","[0, 0, 0]","[0, 0, 0]",0.0,0.1,0.0,0.07652250047505922,4.5,0.07652250047505922,0.0,0.1,4.5,1.0,-1.9639610121239315,0.049534613435626706,-1.9639610121239315,0.049534613435626706,0.0,1.0,-1.9639610121239315,0.049534613435626706,0.0,1.0,0.0,1.0
sig,CO1A21050-1100,CO1A2,1050,1100,0,2,0,0,0,0,0,3,0,0,0,0,"[0, 0, 0]","[3, 3, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 4, 4]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,2.0,0.36868826936178156,4.5,0.36868826936178156,4.5,1.0,4.5,1.0,0.0,1.0,-1.091089451179962,0.27523352407483426,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
surr,CO1A21000-1150 +-50,CO1A2,1000,1150,4,9,0,4,0,0,19,34,0,19,0,0,"[1, 6, 5]","[5, 12, 11]","[0, 0, 0]","[2, 6, 4]","[0, 0, 0]","[0, 0, 0]","[17, 21, 20]","[28, 37, 36]","[0, 0, 0]","[17, 18, 23]","[0, 0, 0]","[0, 0, 0]",0.0,0.1,0.0,0.1,4.5,0.1,0.0,0.1,4.5,1.0,-1.9639610121239315,0.049534613435626706,-1.9639610121239315,0.049534613435626706,0.0,1.0,-1.9639610121239315,0.049534613435626706,0.0,1.0,0.0,1.0
sig,CO2A1550-600,CO2A1,550,600,1,5,0,0,0,0,0,1,0,0,0,0,"[1, 1, 0]","[5, 4, 5]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",7.5,0.18763232999488433,9.0,0.07219819770165753,4.5,0.07219819770165753,4.5,1.0,4.5,1.0,1.3093073414159544,0.19043026382552397,1.9639610121239315,0.049534613435626706,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
surr,CO2A1500-650 +-50,CO2A1,500,650,7,19,1,2,0,0,1,7,2,1,0,0,"[8, 5, 7]","[23, 13, 22]","[3, 1, 0]","[3, 1, 2]","[0, 0, 0]","[0, 0, 0]","[1, 2, 1]","[5, 8, 9]","[1, 2, 2]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]",9.0,0.07652250047505922,9.0,0.1,3.5,0.1,7.5,0.19670560245894686,4.5,1.0,1.9639610121239315,0.049534613435626706,1.9639610121239315,0.049534613435626706,-0.4364357804719848,0.6625205835400574,1.3093073414159544,0.19043026382552397,0.0,1.0,0.0,1.0
sig,CO2A1600-650,CO2A1,600,650,0,3,0,1,0,0,0,0,0,0,0,0,"[0, 0, 0]","[4, 1, 4]","[0, 0, 0]","[1, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",4.5,1.0,8.5,0.11014892418594699,4.5,0.11014892418594699,7.5,0.18763232999488433,4.5,1.0,0.0,1.0,1.7457431218879391,0.08085559837005224,0.0,1.0,1.3093073414159544,0.19043026382552397,0.0,1.0,0.0,1.0
surr,CO2A1550-700 +-50,CO2A1,550,700,4,14,0,2,1,1,0,3,0,1,0,0,"[5, 3, 5]","[16, 9, 16]","[0, 0, 1]","[2, 2, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[4, 1, 5]","[0, 0, 1]","[1, 0, 2]","[0, 0, 0]","[0, 0, 0]",9.0,0.05934643879191985,9.0,0.07652250047505922,4.5,0.07652250047505922,8.0,0.16415972847851523,4.5,1.0,1.9639610121239315,0.049534613435626706,1.9639610121239315,0.049534613435626706,0.0,1.0,1.5275252316519468,0.12663045794761718,0.0,1.0,0.0,1.0
sig,CO2A1850-900,CO2A1,850,900,1,2,0,0,0,0,0,0,0,0,0,0,"[1, 1, 0]","[2, 2, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",7.5,0.18763232999488433,8.5,0.11014892418594699,4.5,0.11014892418594699,4.5,1.0,4.5,1.0,1.3093073414159544,0.19043026382552397,1.7457431218879391,0.08085559837005224,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
surr,CO2A1800-950 +-50,CO2A1,800,950,8,39,0,4,0,0,3,22,0,2,0,0,"[13, 7, 5]","[44, 36, 36]","[0, 0, 0]","[7, 2, 3]","[0, 0, 0]","[0, 0, 0]","[2, 3, 4]","[19, 23, 24]","[0, 0, 0]","[1, 1, 3]","[0, 0, 0]","[0, 0, 0]",9.0,0.1,9.0,0.07652250047505922,4.5,0.07652250047505922,7.5,0.26115455974183277,4.5,1.0,1.9639610121239315,0.049534613435626706,1.9639610121239315,0.049534613435626706,0.0,1.0,1.3093073414159544,0.19043026382552397,0.0,1.0,0.0,1.0
